entity,type
wsi:Diagonal_Covariance,wsi:Parameter
wsi:EM_Iteration,wsi:Parameter
wsi:Feature_Embeddings,wsi:Data_Content
wsi:Feature_Extraction,wsi:WSI_Step
wsi:Gaussian_Mixture_Model_EM,wsi:Algorithm
wsi:Initial_Prototypes,wsi:Data_Content
wsi:K-means,wsi:Algorithm
wsi:Number_Of_Prototypes_16,wsi:Parameter
wsi:Panther_Feature_Extraction,wsi:Step_Application
wsi:Panther_Patch_Extraction,wsi:Step_Application
wsi:Panther_Prototype_Generation,wsi:Step_Application
wsi:Panther_Prototype_based_Aggregation,wsi:Step_Application
wsi:Patch_Extraction,wsi:WSI_Step
wsi:Patch_Extraction_Algorithm,wsi:Algorithm
wsi:Patch_Magnification_20x,wsi:Parameter
wsi:Patch_Size_256x256,wsi:Parameter
wsi:Patches,wsi:Data_Content
wsi:Pretrained_Internal_Histology_Dataset,wsi:Parameter
wsi:Prototype_based_Aggregation,wsi:WSI_Step
wsi:Research_Paper_Panther,wsi:Research_Paper
wsi:Slide_Representation,wsi:Data_Content
wsi:UNI_Pretrained_Encoder,wsi:Algorithm
wsi:Whole_Slide_Image,wsi:Data_Content
