entity,type
wsi:1024_Feature_Embedding,wsi:Data_Content
wsi:Adjacency_Matrix,wsi:Data_Content
wsi:Attention_Network_MLP,wsi:Parameter
wsi:DeepGCN_Message_Passing,wsi:Algorithm
wsi:Dense_Connection_Enabled,wsi:Parameter
wsi:Effective_Receptive_Field_2302x2302,wsi:Parameter
wsi:Euclidean_2D_Space,wsi:Parameter
wsi:Euclidean_Fast_kNN,wsi:Algorithm
wsi:Feature_Extraction,wsi:WSI_Step
wsi:GCN_Layers_L4,wsi:Parameter
wsi:Global_Attention_based_Pooling,wsi:Algorithm
wsi:Global_Neighborhood_Aggregation,wsi:WSI_Step
wsi:Graph_Construction,wsi:WSI_Step
wsi:Image_Receptive_Field_3X3,wsi:Parameter
wsi:Message_Passing,wsi:WSI_Step
wsi:Node_Embeddings,wsi:Data_Content
wsi:Otsu_Binarization,wsi:Parameter
wsi:PatchGCN_Feature_Extraction,wsi:Step_Application
wsi:PatchGCN_Global_Attention_Pooling,wsi:Step_Application
wsi:PatchGCN_Graph_Construction,wsi:Step_Application
wsi:PatchGCN_Message_Passing,wsi:Step_Application
wsi:PatchGCN_Patch_Extraction,wsi:Step_Application
wsi:PatchGCN_Segmentation,wsi:Step_Application
wsi:Patch_Extraction,wsi:WSI_Step
wsi:Patch_Extraction_Algorithm,wsi:Algorithm
wsi:Patch_Magnification_20x,wsi:Parameter
wsi:Patch_Size_256x256,wsi:Parameter
wsi:Patches,wsi:Data_Content
wsi:Pretrained_ImageNet,wsi:Parameter
wsi:ResNet50_Feature_Extraction,wsi:Algorithm
wsi:Research_Paper_Patch_GCN,wsi:Research_Paper
wsi:Residual_Block_3rd,wsi:Parameter
wsi:Residual_Connection_Enabled,wsi:Parameter
wsi:Segmentation,wsi:WSI_Step
wsi:Segmentation_Algorithm,wsi:Algorithm
wsi:Segmentation_Mask,wsi:Data_Content
wsi:Slide_Representation,wsi:Data_Content
wsi:Softmax_Aggregation_Beta1,wsi:Parameter
wsi:Softmax_Normalization,wsi:Parameter
wsi:Spatial_Average_Pooling,wsi:Parameter
wsi:Spatial_XY_Coordinates,wsi:Data_Content
wsi:WSI_Converted_HSV,wsi:Parameter
wsi:WSI_Graph,wsi:Data_Content
wsi:Weighted_Sum,wsi:Parameter
wsi:Whole_Slide_Image,wsi:Data_Content
wsi:kNN_Neighbors_8,wsi:Parameter
