entity,type
wsi:Aggreation_with_Slide_Encoder,wsi:WSI_Step
wsi:CLAM_Patch_Extraction_Algorithm,wsi:Algorithm
wsi:CLAM_Segmentation_Algorithm,wsi:Algorithm
wsi:CONCH_v1_5,wsi:Algorithm
wsi:Feature_Embedding,wsi:Data_Content
wsi:Feature_Extraction,wsi:WSI_Step
wsi:HSV_Saturation_Thresholding,wsi:Parameter
wsi:Magnification_20x,wsi:Parameter
wsi:Median_Blurring,wsi:Parameter
wsi:Morphological_Closing,wsi:Parameter
wsi:Patch_Extraction,wsi:WSI_Step
wsi:Patch_Size_512x512,wsi:Parameter
wsi:Patches,wsi:Data_Content
wsi:Pretrained_CoCa,wsi:Parameter
wsi:Pretrained_WSIs,wsi:Parameter
wsi:Research_Paper_TITAN,wsi:Research_Paper
wsi:Segmentation,wsi:WSI_Step
wsi:Segmentation_Mask,wsi:Data_Content
wsi:Slide_Representation,wsi:Data_Content
wsi:TITAN_Aggregation,wsi:Step_Application
wsi:TITAN_Encoder,wsi:Algorithm
wsi:TITAN_Feature_Extraction,wsi:Step_Application
wsi:TITAN_Patch_Extraction,wsi:Step_Application
wsi:TITAN_Segmentation,wsi:Step_Application
wsi:ViT_Architecture,wsi:Parameter
wsi:Whole_Slide_Image,wsi:Data_Content
