entity,type
wsi:1024_Feature_Embedding,wsi:Data_Content
wsi:Attention_Pooling,wsi:Parameter
wsi:Average_Pooling_After_Residual_Block_3,wsi:Parameter
wsi:Dense_Connections,wsi:Parameter
wsi:Fast_Approximate_k_NN,wsi:Algorithm
wsi:Feature_Dim_1024,wsi:Parameter
wsi:Feature_Extraction,wsi:WSI_Step
wsi:Graph_Convolutional_Layers_4,wsi:Parameter
wsi:H5,wsi:Data_Format
wsi:MLP_Update_Function,wsi:Parameter
wsi:Magnification_20x,wsi:Parameter
wsi:NonOverlapping_Patching,wsi:Algorithm
wsi:OTSU_Thresholding,wsi:Algorithm
wsi:PNG,wsi:Data_Format
wsi:PatchGCN_StepApplication_1,wsi:Step_Application
wsi:PatchGCN_StepApplication_2,wsi:Step_Application
wsi:PatchGCN_StepApplication_3,wsi:Step_Application
wsi:PatchGCN_StepApplication_4,wsi:Step_Application
wsi:PatchGCN_StepApplication_5,wsi:Step_Application
wsi:Patch_Extraction,wsi:WSI_Step
wsi:Patch_GCN_Architecture,wsi:Algorithm
wsi:Patch_Size_256x256,wsi:Parameter
wsi:Pretrained_ImageNet,wsi:Parameter
wsi:ReLU_Activation,wsi:Parameter
wsi:Receptive_Field_3x3,wsi:Parameter
wsi:Research_Paper_PatchGCN,wsi:Research_Paper
wsi:Residual_Connections,wsi:Parameter
wsi:SVS,wsi:Data_Format
wsi:Saturation_Channel_Binarization,wsi:Parameter
wsi:Slide_Level_Classification,wsi:WSI_Step
wsi:Softmax_Aggregation,wsi:Parameter
wsi:Survival_Prediction,wsi:Data_Content
wsi:Tissue_Mask,wsi:Data_Content
wsi:Tissue_Masking,wsi:WSI_Step
wsi:Tissue_Patches,wsi:Data_Content
wsi:Truncated_ResNet50,wsi:Algorithm
wsi:WSI_Graph,wsi:Data_Content
wsi:WSI_Graph_Construction,wsi:WSI_Step
wsi:Whole_Slide_Image,wsi:Data_Content
wsi:k_8,wsi:Parameter
