entity,type
wsi:CSV,wsi:Data_Format
wsi:Diagonal_Covariance,wsi:Parameter
wsi:Downstream_Prediction,wsi:Data_Content
wsi:EM_Algorithm_Initialization,wsi:Parameter
wsi:Feature_Extraction,wsi:WSI_Step
wsi:GMM_Components_C_8_to_32,wsi:Parameter
wsi:Gaussian_Mixture_Model,wsi:Algorithm
wsi:H5,wsi:Data_Format
wsi:KMeans_Init_Prototypes,wsi:Parameter
wsi:No_Overlap,wsi:Parameter
wsi:NonOverlapping_Tessellation,wsi:Algorithm
wsi:Ours_StepApplication_1,wsi:Step_Application
wsi:Ours_StepApplication_2,wsi:Step_Application
wsi:Ours_StepApplication_3,wsi:Step_Application
wsi:Ours_StepApplication_4,wsi:Step_Application
wsi:PNG,wsi:Data_Format
wsi:Patch_Embeddings,wsi:Data_Content
wsi:Patch_Size_256x256,wsi:Parameter
wsi:Per_Prototype_Nonlinear_Mapping,wsi:Parameter
wsi:Pretrained_ON_Histopathology_Dataset,wsi:Parameter
wsi:Prototype_Based_Aggregation,wsi:WSI_Step
wsi:Research_Paper_Ours,wsi:Research_Paper
wsi:SVS,wsi:Data_Format
wsi:Slide_Embedding,wsi:Data_Content
wsi:Slide_Level_Classification,wsi:WSI_Step
wsi:Structured_MLP_Architecture,wsi:Parameter
wsi:Structured_MLP_Predictor,wsi:Algorithm
wsi:Tissue_Patches,wsi:Data_Content
wsi:Tissue_Patching,wsi:WSI_Step
wsi:UNI_Feature_Extractor,wsi:Algorithm
wsi:ViT_L_16_DINOv2,wsi:Parameter
wsi:Whole_Slide_Image,wsi:Data_Content
