entity,type
wsi:Beam_Group_1,wsi:Parameter
wsi:Beam_Search_Decoding,wsi:Algorithm
wsi:Beam_Size_5,wsi:Parameter
wsi:Binary_Thresholding_Saturation_Channel,wsi:Parameter
wsi:CLAM_Toolbox,wsi:Algorithm
wsi:CLIP_Similarity,wsi:Algorithm
wsi:CONCHv1_5,wsi:Algorithm
wsi:CSV,wsi:Data_Format
wsi:Caption_Rewriting,wsi:WSI_Step
wsi:Caption_Rewriting_Step,wsi:Step_Application
wsi:Centering_Euclidean_Centroid,wsi:Parameter
wsi:Cleaned_Report,wsi:Data_Content
wsi:CoCa,wsi:Algorithm
wsi:Contour_Filtering_Min_Area,wsi:Parameter
wsi:Contrastive_Query,wsi:Parameter
wsi:Cosine_Similarity,wsi:Algorithm
wsi:Cox_Proportional_Hazards_Model,wsi:Algorithm
wsi:CrossModal_Retrieval,wsi:WSI_Step
wsi:CrossModal_Retrieval_Step,wsi:Step_Application
wsi:Distance_Metric_Euclidean,wsi:Parameter
wsi:Diversified_Caption,wsi:Data_Content
wsi:Diversified_Report,wsi:Data_Content
wsi:Epochs_20,wsi:Parameter
wsi:Euclidean_Distance,wsi:Algorithm
wsi:Few_Shot_Classification,wsi:WSI_Step
wsi:Few_Shot_Classification_Step,wsi:Step_Application
wsi:Five_Fold_Site_Preserved_Stratification,wsi:Parameter
wsi:Global_View_Size_14x14,wsi:Parameter
wsi:H5,wsi:Data_Format
wsi:Image_Encoder_ViT,wsi:Parameter
wsi:Input_Size_8192x8192,wsi:Parameter
wsi:JSON,wsi:Data_Format
wsi:K_20,wsi:Parameter
wsi:K_Means_Clustering_K_16,wsi:Parameter
wsi:K_NN,wsi:Algorithm
wsi:K_NN_Probing_Step,wsi:Step_Application
wsi:K_Nearest_Neighbors_Probing,wsi:WSI_Step
wsi:Linear_Probing,wsi:WSI_Step
wsi:Linear_Probing_Step,wsi:Step_Application
wsi:Local_View_Size_6x6,wsi:Parameter
wsi:Logistic_Regression,wsi:Algorithm
wsi:Masked_Image_Modeling,wsi:Parameter
wsi:Max_Iterations_500,wsi:Parameter
wsi:Median_Blurring,wsi:Parameter
wsi:Morphological_Closing,wsi:Parameter
wsi:Multimodal_Decoder_CONCHv1_5,wsi:Parameter
wsi:Normalization_Centered_Normalized,wsi:Parameter
wsi:Normalization_L2,wsi:Parameter
wsi:PNG,wsi:Data_Format
wsi:Patch_Size_1024x1024,wsi:Parameter
wsi:Patch_Size_512x512,wsi:Parameter
wsi:Patch_Tiling,wsi:WSI_Step
wsi:PathChat,wsi:Algorithm
wsi:Pathology_Report,wsi:Data_Content
wsi:Predicted_Class,wsi:Data_Content
wsi:Predicted_Class_FewShot,wsi:Data_Content
wsi:Predicted_Class_KNN,wsi:Data_Content
wsi:Predicted_Class_Linear,wsi:Data_Content
wsi:Preprocessing_Step,wsi:Step_Application
wsi:Prompt_Caption_Rewriting,wsi:Parameter
wsi:Prompt_Detailed_Morphological_Description,wsi:Parameter
wsi:Prompt_Report_Cleaning,wsi:Parameter
wsi:Prototype_Averaging,wsi:Parameter
wsi:Qwen2_7B_Instruct,wsi:Algorithm
wsi:ROI_Sampling,wsi:WSI_Step
wsi:Reconstruction_Queries_128,wsi:Parameter
wsi:Region_Crop,wsi:Data_Content
wsi:Region_Crop_Size_8192x8192,wsi:Parameter
wsi:Regularization_C_alpha,wsi:Parameter
wsi:Regularization_L2,wsi:Parameter
wsi:Report_Cleaning,wsi:WSI_Step
wsi:Report_Cleaning_Step,wsi:Step_Application
wsi:Report_Generation,wsi:WSI_Step
wsi:Report_Generation_Step,wsi:Step_Application
wsi:Report_Rewriting,wsi:WSI_Step
wsi:Report_Rewriting_Step,wsi:Step_Application
wsi:Research_Paper_TITAN,wsi:Research_Paper
wsi:Retrieved_Report,wsi:Data_Content
wsi:Retrieved_Slide,wsi:Data_Content
wsi:SVS,wsi:Data_Format
wsi:SimpleShot,wsi:Algorithm
wsi:Slide_Level_Classification,wsi:WSI_Step
wsi:Slide_Report_Pair,wsi:Data_Content
wsi:Slide_Representation,wsi:Data_Content
wsi:Slide_Retrieval,wsi:WSI_Step
wsi:Slide_Retrieval_Step,wsi:Step_Application
wsi:Solver_L_BFGS,wsi:Parameter
wsi:Student_Teacher_Knowledge_Distillation,wsi:Parameter
wsi:Survival_Analysis,wsi:WSI_Step
wsi:Survival_Analysis_Step,wsi:Step_Application
wsi:Survival_Risk,wsi:Data_Content
wsi:Synthetic_Caption,wsi:Data_Content
wsi:Synthetic_Caption_Generation,wsi:WSI_Step
wsi:Synthetic_Caption_Generation_Step,wsi:Step_Application
wsi:TXT,wsi:Data_Format
wsi:Text_Encoder_CONCHv1_5,wsi:Parameter
wsi:Text_Prompt_Ensemble,wsi:Parameter
wsi:Tissue_Mask,wsi:Data_Content
wsi:Tissue_Patches,wsi:Data_Content
wsi:Tissue_Segmentation,wsi:WSI_Step
wsi:Training_Objective_CoCa,wsi:Parameter
wsi:Unimodal_Pretraining_Step,wsi:Step_Application
wsi:Vision_Language_CoTraining_Step_1,wsi:Step_Application
wsi:Vision_Language_CoTraining_Step_2,wsi:Step_Application
wsi:Whole_Slide_Image,wsi:Data_Content
wsi:Zero_Shot_Classification,wsi:WSI_Step
wsi:Zero_Shot_Classification_Step,wsi:Step_Application
wsi:iBOT,wsi:Algorithm
